id,lat,lon,period,NDVI,NDWI,MNDWI,NDBI,EVI,SAVI,LAI,GCI,ARVI,BSI,LST_celsius,canopy_cover_pct
site_01,22.65,82.9,2019-10,0.5900655391538525,-0.571090411916148,-0.554939271718286,-0.033590731467332186,0.35101828007989666,0.3336062357952475,1.1519841373290658,2.9461377089113454,0.5105628507462503,-0.003541416007182902,28.076930742005416,2.9719575279063437
site_01,22.65,82.9,2019-11,0.5269559192092682,-0.5195735752381526,-0.5205446710917367,-0.004076659083601755,0.30970127147429327,0.29183360598255514,1.0024992001939903,2.3114866690306304,0.44657819748898625,0.022364577683763095,26.239818844373655,2.9719575279063437
site_01,22.65,82.9,2019-12,0.501333502974597,-0.49817147938481665,-0.5072984063683653,0.008144000156386466,0.288468585356393,0.2732450027659149,0.9256793418194306,2.103546979069481,0.41568635798088577,0.03468347117524826,21.992809776121028,2.9719575279063437
site_01,22.65,82.9,2020-01,0.5193290346910072,-0.5373850175578687,-0.5467688117507655,0.0033178136977215318,0.2762285936655981,0.275082250122568,0.8813950518821349,2.585791977055677,0.40280871490329967,0.041835477319451836,21.36692781000641,2.9719575279063437
site_01,22.65,82.9,2020-02,0.48921453118463143,-0.5039638726914575,-0.5255562986398639,0.02214527641166972,0.2706272231497116,0.2631859642336198,0.8611292933556566,2.204288820071831,0.3843401300369628,0.053014391632902384,24.380834509622996,2.9719575279063437
site_01,22.65,82.9,2020-03,0.42565642710217544,-0.4531064774218357,-0.5191606811297222,0.08140517238746627,0.24605176135278053,0.239272362719859,0.7722152725743603,1.772855743148703,0.30455741125320734,0.10630073121223625,31.021437454187115,2.9719575279063437
site_01,22.65,82.9,2020-04,0.35367403137693304,-0.4030695044099011,-0.5078480382633549,0.12993979788619528,0.223738908764799,0.21593622909464727,0.6914873719110433,1.4083375605626933,0.21706651849571929,0.1498870826248094,36.550887662568755,2.9719575279063437
site_01,22.65,82.9,2020-05,0.36423119504456175,-0.41441991028338243,-0.5069537965570801,0.11451318137959035,0.233419627030281,0.23156139083644017,0.7265122105955565,1.5074421525641155,0.20844879842724645,0.14828103217515037,38.69305240598466,2.9719575279063437
site_01,22.65,82.9,2020-06,0.37439012521242604,-0.38947776777176674,-0.46395685401329956,0.08777307894954653,0.27675018091484627,0.2479032146705796,0.883282154549912,1.346488325901012,0.26870480018954856,0.10446781478600616,37.7403404050339,2.9719575279063437
site_01,22.65,82.9,2020-07,,,,,,,,,,,,
site_01,22.65,82.9,2020-08,,,,,,,,,,,,
site_01,22.65,82.9,2020-09,0.4326146180144014,-0.3940281935215495,-0.3480541606754342,-0.052924533697993416,0.3403692256705172,0.25508709457476,1.1134558584759293,1.4374624835031715,0.42949752742757713,-0.03601652095610759,28.964830495577804,2.9719575279063437
site_01,22.65,82.9,2020-10,0.45244520005306643,-0.4328522864057598,-0.41801225742074927,-0.02185633570586536,0.3182851623184245,0.27016015192812515,1.0335557172680596,1.6471538148318312,0.40605737525860386,-0.0008010853384271204,28.81734275761472,2.9719575279063437
site_01,22.65,82.9,2020-11,0.48735823976644793,-0.4834067780149923,-0.49547736158104716,0.012047439597922942,0.30294841940876666,0.27382540359812513,0.9780673814209175,1.9792877385885823,0.42765793050200646,0.028426130270271237,26.754737188213138,2.9719575279063437
site_01,22.65,82.9,2020-12,0.5270110082472523,-0.5370162946230738,-0.5518183592562493,0.010300275059618814,0.28471954207570543,0.2810574557053439,0.9121153032299011,2.600235926977128,0.41758858246188074,0.043568065127634795,23.862654275482573,2.9719575279063437
site_01,22.65,82.9,2021-01,0.41156677538146896,-0.4087455116215072,-0.4347208929773948,0.030807739872462877,0.24920799752513748,0.22505570337342262,0.7836345350459463,1.4240926752989675,0.3447037833157678,0.0466637249381015,24.625124212025227,2.9719575279063437
site_01,22.65,82.9,2021-02,0.44734066948993717,-0.4895607400531182,-0.5427066932866562,0.06644710365127979,0.24908122163624005,0.24701545876666425,0.7831758598799159,2.064447044723571,0.3176623506952273,0.09852254377740795,28.252174893715093,2.9719575279063437
site_01,22.65,82.9,2021-03,0.3746795733256848,-0.4513883389058482,-0.5398334765872493,0.11459481261287882,0.21708524683958463,0.2219483489121864,0.667414423065617,1.7317341888843427,0.20942278761797167,0.15331440507396543,34.86297595761143,2.9719575279063437
